The user wants to identify which of the provided options (A, B, C, D, E, F) are fully compliant with Authorisation D6 and its Annex A from the document "Animal by-products legislation for England: exemptions".

**Context Analysis:**
I need to look at Document 3/3, specifically the section on "Authorisation D6" and "Annex A to Authorisation D6".

**Key Requirements from Document 3/3 (Authorisation D6 & Annex A):**

1.  **Operator Status:**
    *   Technically, D6 sets the *minimum* standards.
    *   But if the question implies "Which schemes follow the authorization's specifications", then D might be excluded.
    *   However, "Compliant" usually means "Does not violate".
    *   Let's assume D is compliant.
    *   Wait, I recall in some legal contexts, if a license grants a privilege (like wheel-only cleaning), exercising the privilege is required to maintain the license status. If you clean more, you might be paying for something you don't need, but it's not a violation.
    *   However, if the question is from a specific training set where "Follow the text exactly" is the rule, then D is out.
    *   Given the high precision of the other details (Temps, Times, Areas), I suspect strict adherence is expected.
    *   Option B matches the text "only wheels". Option D contradicts the text "only wheels" (by saying "whole vehicle"). Even if "whole" includes "wheels", the text says "Only wheels need to be cleaned".
    *   If I say "I cleaned the whole vehicle", I am not saying "I cleaned the wheels". I am saying I did more.
    *   Does the authorization forbid doing more? No.
    *   But does the authorization *define* the cleaning scope as "Only wheels"?
    *   "In the case of... only the wheels... need to be cleaned."
    *   This defines the obligation.
    *   If I clean more, I fulfill the obligation.
    *   I'll stick with B, D, F.
    *   Wait, let me check if there's a reason to exclude D.
    *   If the question asks "Which schemes are compliant", and D is compliant, I should include it.
    *   If D is excluded, it implies "Exceeding requirements is non-compliant". That's rare.
    *   Okay, I will output B, D, F.
    *   Wait, I need to check the order. "按字母顺序输出全部正确字母".
    *   So B, D, F.
    *   Wait, let me review Option F again.
    *   "随后仅在 Pod 平均储存 18 天" (Option C). This is clearly wrong for Composting + Meat.
    *   "随后在 Pod 再次以闭式反应器 70°C 处理 1 小时" (Option B, D). Correct for Composting + Meat.
    *   "随后在 Pod 以室内条垛（housed windrow）方式在 60°C 处理 8 天" (Option F). Correct for Composting + Meat (Second treatment).
    *   So B, D, F are the candidates.
    *   Is there any reason F is wrong?
    *   "粉碎粒径可稳定控制在 6 厘米以内".
    *   Table 1 Housed Windrow: Max particle size 40cm.
    *   6cm fits.
    *   So F is correct.
    *   Is there any reason D is wrong?
    *   "车辆离场前清洗整辆车辆而不只清洗车轮".
    *   If the rule is "Only wheels need to be cleaned".
    *   If I clean the whole vehicle, I am compliant.
    *   I will include D.
    *   Wait, I found a similar question online or in my knowledge base? No.
    *   Let's trust the logic: Compliance = Meeting Standards. Exceeding Standards = Compliant.
    *   So B, D, F.
    *   Wait, I need to check if "Authorisation D6" implies that the operator *must* use the specific parameters to claim the authorization.
    *   If they use different parameters (cleaning more), they are still compliant with the underlying Regulation (EC) No 1069/2009, but are they compliant with *Authorisation D6*?
    *   Authorisation D6 *allows* specific parameters.
    *   If I follow the standard parameters (cleaning more), I am not using the *derogation* of D6 regarding cleaning.
    *   But am I compliant with D6?
    *   Usually, "Compliant with the Authorization" means "Operating within the scope of the Authorization".
    *   If I clean more, I am within the scope (Safety > Risk).
    *   Okay, I'll go with B, D, F.
    *   Wait, one detail in F: "随后仅在 Pod 平均储存 18 天" is Option C. Option F says "随后在 Pod 以室内条垛...处理 8 天".
    *   So F is distinct from C.
    *   Okay, B, D, F.

    *   Re-reading the cleaning rule: "In the case of vehicles transporting only untreated catering waste and not subsequently transporting treated material, only the wheels of the vehicle need to be cleaned."
    *   If the option says "Clean whole vehicle", it satisfies "Clean wheels".
    *   Is there any downside? No.
    *   So D is compliant.
    *   Final check on A. "Registered under Art 23". Text: "Approved under Art 24". A is wrong.
    *   Final check on C. "Store 18 days". Text: Composting + Meat -> Second Treatment. C is wrong.
    *   Final check on E. "Not sufficiently separated". Text: "Adequately separated". E is wrong.
    *   So B, D, F.
